79,118,28,348.28,348.28,149.41,0.72,99274,21.54,95.00
105,110,27,256.94,38.74,110.23,232.12,99326,21.48,95.00
131,111,27,85.85,85.85,36.83,0.18,99190,21.48,95.00
183,108,26,35.11,35.10,39.62,20.87,99572,21.51,95.00
209,104,24,253.52,253.51,108.76,0.53,99549,21.59,95.00
235,105,24,33.02,33.01,14.16,0.07,99566,21.67,95.00
287,106,25,71.16,71.16,30.83,21.60,100308,21.77,95.00
313,105,25,26.05,26.04,2.94,12.94,100756,21.84,95.00
339,116,38,96.42,84.50,5.44,7.48,100882,22.04,95.00
365,143,364,94.80,94.80,1.26,3.11,100887,22.25,95.00
417,119,503,85.96,85.96,36.88,0.18,100901,22.76,95.00
443,111,499,135.67,135.66,58.20,0.28,100940,23.14,92.00
469,104,500,119.28,119.27,28.09,27.28,100952,23.39,91.00
494,101,502,57.68,57.68,8.47,5.76,100959,23.57,90.00
546,103,505,30.38,30.37,6.58,2.67,100988,24.07,91.00
1317,111,518,0.00,48.00,0.00,47.98,99809,26.21,87.00
